Lat,Lon
36.99,-113.63
36.99,-112.99
36.95,-112.99
36.91,-111.47
36.83,-111.51
36.79,-110.23
36.79,-109.95
36.71,-110.23
36.47,-110.67
36.35,-110.91
36.15,-109.59
36.03,-111.83
35.99,-114.07
35.95,-112.15
35.91,-109.03
35.75,-111.47
35.75,-109.63
35.75,-109.07
35.71,-109.55
35.71,-109.51
35.67,-114.19
35.67,-111.51
35.67,-109.55
35.59,-114.35
35.59,-114.31
35.59,-114.27
35.59,-112.15
35.59,-111.99
35.47,-111.79
35.35,-111.79
35.31,-111.55
35.31,-109.11
35.27,-114.03
35.27,-113.95
35.27,-112.31
35.27,-112.15
35.27,-111.91
35.27,-111.51
35.23,-114.27
35.23,-114.03
35.23,-112.59
35.23,-111.67
35.19,-114.07
35.19,-113.35
35.19,-112.47
35.19,-111.67
35.19,-111.63
35.19,-111.59
35.15,-114.15
35.15,-111.71
35.11,-114.63
35.11,-114.59
35.11,-112.43
35.11,-111.03
35.07,-114.59
35.03,-114.59
35.03,-110.71
34.99,-114.59
34.99,-109.99
34.95,-111.63
34.91,-114.59
34.91,-110.23
34.87,-114.55
34.87,-114.15
34.87,-114.11
34.87,-112.47
34.87,-111.83
34.87,-111.79
34.87,-111.63
34.83,-114.59
34.83,-113.63
34.79,-114.47
34.79,-112.51
34.79,-111.75
34.79,-111.59
34.75,-112.43
34.75,-112.11
34.75,-112.03
34.71,-114.31
34.71,-111.39
34.67,-110.15
34.63,-112.43
34.63,-111.79
34.59,-112.47
34.59,-112.43
34.59,-112.35
34.59,-112.31
34.59,-111.87
34.59,-110.79
34.55,-114.35
34.55,-112.51
34.55,-112.47
34.55,-112.43
34.55,-112.39
34.55,-112.27
34.55,-111.91
34.55,-111.51
34.51,-114.35
34.51,-114.31
34.47,-114.35
34.47,-114.31
34.47,-114.27
34.43,-109.63
34.39,-110.55
34.35,-110.83
34.35,-109.99
34.31,-112.71
34.31,-112.11
34.31,-109.99
34.27,-109.71
34.27,-109.63
34.23,-113.07
34.23,-112.11
34.23,-111.35
34.23,-111.31
34.23,-110.07
34.19,-114.23
34.19,-109.35
34.15,-112.99
34.15,-112.15
34.15,-109.99
34.11,-109.91
34.11,-109.87
34.07,-114.39
34.07,-112.15
33.95,-112.87
33.91,-112.15
33.87,-112.15
33.87,-112.07
33.87,-111.87
33.83,-113.51
33.83,-112.11
33.83,-112.07
33.83,-111.95
33.83,-111.87
33.79,-112.11
33.79,-111.99
33.79,-111.95
33.79,-111.91
33.79,-110.03
33.79,-109.99
33.75,-112.11
33.75,-111.99
33.75,-111.95
33.75,-111.91
33.75,-111.87
33.71,-112.27
33.71,-112.15
33.71,-112.11
33.71,-111.91
33.71,-111.83
33.67,-114.23
33.67,-112.63
33.67,-112.39
33.67,-112.35
33.67,-112.27
33.67,-112.23
33.67,-112.19
33.67,-112.15
33.67,-112.11
33.67,-112.07
33.67,-112.03
33.67,-111.91
33.67,-111.87
33.63,-112.43
33.63,-112.39
33.63,-112.35
33.63,-112.31
33.63,-112.27
33.63,-112.23
33.63,-112.19
33.63,-112.15
33.63,-112.11
33.63,-112.07
33.63,-112.03
33.63,-111.99
33.63,-111.95
33.63,-111.91
33.63,-111.83
33.59,-112.39
33.59,-112.27
33.59,-112.23
33.59,-112.19
33.59,-112.15
33.59,-112.11
33.59,-112.03
33.59,-111.99
33.59,-111.95
33.59,-111.91
33.59,-111.87
33.59,-111.83
33.59,-111.79
33.59,-111.75
33.59,-111.71
33.55,-113.23
33.55,-112.27
33.55,-112.19
33.55,-112.15
33.55,-112.11
33.55,-112.07
33.55,-112.03
33.55,-111.95
33.55,-111.91
33.55,-111.87
33.55,-110.15
33.51,-112.47
33.51,-112.39
33.51,-112.35
33.51,-112.27
33.51,-112.23
33.51,-112.19
33.51,-112.15
33.51,-112.11
33.51,-112.07
33.51,-112.03
33.51,-111.99
33.51,-111.91
33.47,-112.47
33.47,-112.39
33.47,-112.35
33.47,-112.31
33.47,-112.23
33.47,-112.19
33.47,-112.15
33.47,-112.11
33.47,-112.07
33.47,-112.03
33.47,-111.99
33.47,-111.91
33.47,-111.83
33.47,-111.75
33.47,-111.71
33.47,-111.67
33.43,-112.59
33.43,-112.55
33.43,-112.51
33.43,-112.43
33.43,-112.39
33.43,-112.35
33.43,-112.31
33.43,-112.23
33.43,-112.15
33.43,-112.11
33.43,-112.07
33.43,-112.03
33.43,-111.99
33.43,-111.95
33.43,-111.91
33.43,-111.87
33.43,-111.83
33.43,-111.79
33.43,-111.75
33.43,-111.71
33.43,-111.67
33.43,-111.63
33.43,-111.59
33.43,-111.55
33.39,-112.87
33.39,-112.15
33.39,-112.11
33.39,-112.07
33.39,-112.03
33.39,-111.99
33.39,-111.95
33.39,-111.91
33.39,-111.87
33.39,-111.83
33.39,-111.79
33.39,-111.75
33.39,-111.71
33.39,-111.67
33.39,-111.63
33.39,-111.51
33.39,-111.47
33.39,-110.79
33.35,-112.43
33.35,-111.99
33.35,-111.95
33.35,-111.91
33.35,-111.87
33.35,-111.83
33.35,-111.79
33.35,-111.75
33.35,-111.71
33.35,-111.59
33.35,-110.99
33.35,-110.47
33.31,-112.03
33.31,-111.99
33.31,-111.95
33.31,-111.91
33.31,-111.87
33.31,-111.83
33.31,-111.79
33.31,-111.75
33.31,-111.67
33.31,-109.35
33.27,-111.99
33.27,-111.87
33.27,-111.83
33.27,-111.79
33.27,-111.71
33.27,-111.67
33.23,-111.87
33.23,-111.83
33.23,-111.79
33.23,-111.71
33.23,-111.67
33.23,-111.55
33.19,-111.67
33.19,-111.59
33.19,-111.51
33.15,-111.59
33.11,-112.27
33.07,-112.03
33.07,-111.47
33.07,-109.35
33.03,-112.15
33.03,-111.39
32.99,-112.15
32.95,-112.71
32.95,-111.75
32.95,-111.71
32.95,-111.67
32.95,-110.75
32.95,-109.23
32.91,-111.83
32.91,-111.71
32.91,-111.51
32.91,-109.19
32.87,-114.39
32.87,-112.43
32.87,-111.75
32.87,-111.67
32.87,-110.71
32.87,-109.79
32.83,-113.39
32.83,-112.03
32.83,-109.75
32.83,-109.71
32.79,-111.67
32.79,-111.59
32.79,-109.71
32.75,-111.67
32.75,-111.55
32.75,-109.39
32.75,-109.23
32.75,-109.11
32.71,-114.67
32.71,-114.63
32.71,-114.43
32.67,-114.71
32.67,-114.63
32.67,-114.59
32.67,-114.55
32.67,-114.51
32.67,-114.47
32.67,-114.43
32.67,-114.39
32.67,-114.15
32.67,-114.11
32.63,-114.55
32.63,-114.39
32.59,-114.71
32.55,-114.51
32.51,-111.27
32.51,-110.91
32.47,-110.95
32.47,-110.91
32.43,-111.31
32.43,-111.27
32.43,-111.07
32.43,-110.99
32.43,-110.95
32.39,-112.87
32.39,-111.31
32.39,-111.11
32.39,-111.03
32.39,-110.99
32.39,-110.95
32.35,-111.11
32.35,-111.07
32.35,-111.03
32.35,-110.99
32.31,-111.03
32.31,-110.99
32.31,-110.95
32.31,-110.91
32.31,-110.87
32.31,-110.83
32.27,-111.03
32.27,-110.99
32.27,-110.95
32.27,-110.91
32.27,-110.83
32.27,-110.79
32.27,-110.75
32.23,-111.07
32.23,-111.03
32.23,-110.99
32.23,-110.95
32.23,-110.91
32.23,-110.87
32.23,-110.83
32.23,-110.79
32.23,-109.83
32.19,-111.03
32.19,-110.99
32.19,-110.91
32.19,-110.87
32.19,-110.83
32.19,-110.79
32.15,-111.03
32.15,-110.99
32.15,-110.95
32.15,-110.91
32.15,-110.83
32.11,-111.07
32.11,-111.03
32.11,-110.99
32.11,-110.95
32.11,-110.79
32.07,-110.95
32.07,-110.79
31.99,-110.71
31.95,-110.83
31.91,-110.99
31.87,-110.99
31.79,-111.03
31.59,-109.67
31.55,-110.35
31.55,-110.27
31.51,-110.27
31.47,-110.27
31.35,-110.95
31.35,-109.55
31.35,-109.51
